is_comb;items;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;num_of_patterns;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
False;JA4+JA4S;0.85;3;4;81;324;0;9;405;0.2;0.8;2.2641975308641977;3.0;3;3;1;81;0;0;0.2;0.0;0.0
True;JA4+JA4S;0.85;3;4;81;324;0;9;405;0.2;0.8;2.4074074074074074;3.0;3;3;1;81;0;0;0.2;0.0;0.0
False;JA4+JA4S;0.75;3;4;81;324;0;9;405;0.2;0.8;2.2641975308641977;3.0;3;3;1;81;0;0;0.2;0.0;0.0
True;JA4+JA4S;0.75;3;4;81;324;0;9;405;0.2;0.8;2.4074074074074074;3.0;3;3;1;81;0;0;0.2;0.0;0.0
False;JA4+JA4S;0.65;3;4;118;287;0;13;405;0.291358024691358;0.7086419753086419;2.083950617283951;2.0;3;3;1;115;3;0;0.28;0.01;0.0
True;JA4+JA4S;0.65;3;4;117;288;0;13;405;0.28888888888888886;0.7111111111111111;2.1753086419753087;3.0;3;3;1;114;3;0;0.28;0.01;0.0
False;JA4+JA4S;0.55;3;4;193;212;0;20;405;0.4765432098765432;0.5234567901234568;2.0098765432098764;2.0;3;3;1;174;17;2;0.43;0.04;0.0
True;JA4+JA4S;0.55;3;4;192;213;0;20;405;0.4740740740740741;0.5259259259259259;2.091358024691358;3.0;3;3;1;174;16;2;0.43;0.04;0.0
False;JA4+JA4S;0.45;3;4;202;203;0;28;405;0.49876543209876545;0.5012345679012346;2.0024691358024693;2.0;3;3;1;177;22;3;0.44;0.05;0.01
True;JA4+JA4S;0.45;3;4;202;203;0;28;405;0.49876543209876545;0.5012345679012346;2.185185185185185;3.0;3;3;1;177;23;2;0.44;0.06;0.0
False;JA3+JA4;0.95;3;4;3;402;0;2;405;0.007407407407407408;0.9925925925925926;1.8246913580246913;2.0;2;2;1;3;0;0;0.01;0.0;0.0
True;JA3+JA4;0.95;3;4;3;402;0;2;405;0.007407407407407408;0.9925925925925926;1.8962962962962964;2.0;2;2;1;3;0;0;0.01;0.0;0.0
False;JA3+JA4;0.85;3;4;81;324;0;3;405;0.2;0.8;2.2641975308641977;3.0;3;3;1;81;0;0;0.2;0.0;0.0
True;JA3+JA4;0.85;3;4;81;324;0;3;405;0.2;0.8;2.4074074074074074;3.0;3;3;1;81;0;0;0.2;0.0;0.0
False;JA3+JA4;0.75;3;4;81;324;0;3;405;0.2;0.8;2.2641975308641977;3.0;3;3;1;81;0;0;0.2;0.0;0.0
True;JA3+JA4;0.75;3;4;81;324;0;3;405;0.2;0.8;2.4074074074074074;3.0;3;3;1;81;0;0;0.2;0.0;0.0
False;JA3+JA4;0.65;3;4;109;296;0;4;405;0.2691358024691358;0.7308641975308642;1.9925925925925927;1.0;1;3;1;109;0;0;0.27;0.0;0.0
True;JA3+JA4;0.65;3;4;109;296;0;4;405;0.2691358024691358;0.7308641975308642;2.224691358024691;3.0;3;3;1;108;1;0;0.27;0.0;0.0
False;JA3+JA4;0.55;3;4;183;222;0;7;405;0.45185185185185184;0.5481481481481482;1.9185185185185185;1.0;1;3;1;167;16;0;0.41;0.04;0.0
True;JA3+JA4;0.55;3;4;183;222;0;7;405;0.45185185185185184;0.5481481481481482;2.140740740740741;3.0;3;3;1;167;16;0;0.41;0.04;0.0
False;JA3+JA4;0.45;3;4;195;210;0;9;405;0.48148148148148145;0.5185185185185185;1.9358024691358025;2.0;1;3;1;173;22;0;0.43;0.05;0.0
True;JA3+JA4;0.45;3;4;195;210;0;9;405;0.48148148148148145;0.5185185185185185;2.1901234567901233;3.0;3;3;1;171;24;0;0.42;0.06;0.0
